name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
PC Jeweller,https://scanx.trade/company/pc-jeweller-ltd,10.1,-2.32%,10.36,"4,37,39,451","7,321.11",12.47,8.17,19.65,8.67,5.76%,-16.25%,-32.53%,133.26%,274.07%,1.08,-,-,8.05%,-,10.23,12.4,44.32,50.00%,70.00%
Ethos,https://scanx.trade/company/ethos-ltd,"2,717.80",3.53%,"2,611.40","27,410","7,272.21",73.94,34.45,"3,245.90","1,931.84",-7.98%,-8.06%,10.40%,180.56%,250.35%,4.9,-,9.55%,12.15%,34.02,"2,841.34","2,722.35",54.24,50.00%,70.00%
Sudarshan Chemical Industries,https://scanx.trade/company/sudarshan-chemical-industries-ltd,916.55,-2.29%,938.05,"16,477","7,204.68",98.15,-66.07,"1,603.00",796.15,-4.53%,-21.03%,-8.51%,148.66%,82.71%,2.1,0.48%,31.11%,2.16%,17.32,949.56,"1,172.89",48.49,50.00%,75.00%
CSB Bank,https://scanx.trade/company/csb-bank-ltd,413.75,-0.84%,419.4,"2,73,814","7,177.98",11.63,9.74,574.4,272.75,-14.36%,-1.17%,35.23%,64.38%,82.75%,1.6,-,14.90%,6.11%,31.58,442.31,402.78,39.89,70.55%,80.00%
Indian Metals & Ferro Alloys,https://scanx.trade/company/indian-metals-ferro-alloys-ltd,"1,328.50",0.36%,"1,332.90","4,01,944","7,167.80",21.69,-107.53,"1,510.60",549.8,-11.20%,7.96%,84.26%,364.75%,457.37%,2.86,1.50%,17.50%,22.06%,73.62,"1,309.36",990.45,58.91,50.00%,70.00%
Tips Music,https://scanx.trade/company/tips-industries-ltd,558.1,1.60%,549.3,"1,67,420","7,167.49",37.22,17.94,735,483,1.17%,6.04%,-19.20%,256.07%,1667.82%,27.24,1.28%,70.85%,97.14%,11.24,537.87,585.85,57.89,50.00%,65.00%
Sri Lotus Developers & Realty,https://scanx.trade/company/sri-lotus-developersrealty-ltd,146.57,-3.79%,153,"14,99,308","7,163.22",35.55,8.7,218.49,137.6,-11.90%,-17.57%,-25.09%,-25.09%,-25.09%,4.26,-,-,31.18%,-,156.05,-,44.12,-,70.00%
RateGain Travel,https://scanx.trade/company/rategain-travel-ltd,605.4,-3.73%,630.9,"9,96,640","7,149.90",35.56,52.74,741.6,412.85,-12.75%,-11.72%,-10.87%,75.86%,78.03%,4.1,-,9.64%,15.98%,14.07,659.88,569.17,40.44,50.00%,65.00%
Borosil Renewables,https://scanx.trade/company/borosil-renewables-ltd,508.9,-0.85%,510.2,"6,00,982","7,134.21",-101.07,23.68,721,441.45,-7.13%,-23.23%,-1.11%,1.05%,87.92%,5.69,-,-,-3.59%,-,532.05,566.32,47.99,50.00%,70.00%
Dodla Dairy,https://scanx.trade/company/dodla.ltd,"1,182.10",-1.66%,"1,200.00","7,985","7,131.35",27.43,30.92,"1,525.00",965.5,-3.14%,-4.98%,3.37%,136.04%,93.82%,4.75,0.41%,14.64%,24.26%,33.08,"1,216.90","1,276.73",42.88,66.85%,70.00%
