name,screener,ltp,change_pct,open,volume,market_cap_cr,pe_ratio,industry_pe,high_52w,low_52w,return_1m,return_3m,return_1y,return_3y,return_5y,pb_ratio,dividend,roe,roce,eps,dma_50,dma_200,rsi,margin_funding,margin_pledge
Reliance Industries,https://scanx.trade/company/reliance-industries-ltd,"1,443.40",-0.92%,"1,457.00","1,17,63,658","19,53,277.10",20.16,10.31,"1,611.80","1,114.85",-9.35%,-2.02%,12.31%,36.53%,65.24%,2.25,0.38%,8.54%,8.71%,101.61,"1,500.12","1,445.91",49.58,78.00%,91.00%
HDFC Bank,https://scanx.trade/company/hdfc-bank-ltd,949.7,-0.36%,956,"2,81,03,169","14,61,073.30",18.95,9.74,"1,020.50",830.55,-5.18%,-3.61%,10.37%,14.50%,20.28%,2.62,1.15%,13.93%,6.38%,89.49,968.61,977.51,52.01,78.00%,91.00%
Bharti Airtel,https://scanx.trade/company/bharti-airtel-ltd,"1,992.40",-1.65%,"2,012.00","77,08,690","11,36,087.46",25.85,-3.3,"2,174.50","1,559.50",-5.41%,-5.72%,19.92%,151.28%,237.96%,9.81,0.76%,8.11%,18.01%,21.42,"2,059.46","1,965.64",44.4,78.00%,91.00%
Tata Consultancy Services,https://scanx.trade/company/tcs-tata-consultancy-services-ltd,"2,991.50",-0.25%,"2,990.00","35,21,545","10,82,350.88",22.63,31.01,"4,150.00","2,866.60",-7.97%,0.04%,-27.16%,-14.09%,-6.18%,10.26,4.20%,50.48%,62.02%,131.54,"3,200.37","3,212.70",35.36,78.00%,91.00%
ICICI Bank,https://scanx.trade/company/icici-bank-ltd,"1,396.50",-0.84%,"1,414.00","89,82,761","9,98,524.28",17.8,9.74,"1,500.00","1,200.10",3.03%,4.46%,10.12%,61.67%,122.27%,2.94,0.78%,16.67%,6.13%,64.38,"1,375.50","1,405.34",54.81,78.00%,91.00%
State Bank of India,https://scanx.trade/company/state-bank-of-india-ltd,"1,073.50",0.50%,"1,068.20","95,51,567","9,90,906.80",11.76,9.86,"1,089.80",680,7.46%,12.10%,37.77%,97.26%,202.31%,1.82,1.44%,15.83%,5.57%,81.94,"1,000.70",879.8,62.37,78.00%,91.00%
Infosys,https://scanx.trade/company/infosys-ltd,"1,520.20",-1.02%,"1,534.00","1,06,28,127","6,16,384.00",22.24,31.01,"1,924.00","1,307.00",-7.33%,3.56%,-19.94%,-4.95%,18.83%,8.33,2.87%,29.67%,35.85%,64.2,"1,620.66","1,549.44",33.05,78.00%,90.68%
Bajaj Finance,https://scanx.trade/company/bajaj-finance-ltd,964.75,0.15%,964,"60,20,258","6,00,313.94",32.72,3.47,"1,102.50",802.5,-2.59%,-8.73%,13.83%,60.41%,75.25%,5.81,0.58%,18.84%,10.98%,241.14,981.37,959.08,53.29,76.00%,89.47%
Larsen & Toubro,https://scanx.trade/company/lt-larsen-toubro-ltd,"4,063.30",-0.58%,"4,088.00","14,33,240","5,58,939.78",29.62,10.58,"4,195.00","2,965.30",-2.40%,3.54%,18.15%,87.55%,165.61%,5.54,0.83%,15.18%,18.71%,96.6,"3,998.18","3,737.74",58.72,76.00%,91.00%
Hindustan Unilever,https://scanx.trade/company/hindustan-unilever-ltd,"2,354.40",-0.70%,"2,362.50","19,62,066","5,53,187.77",51,46.37,"2,705.09","2,101.12",0.27%,-2.13%,-1.83%,-9.64%,6.59%,11.44,2.24%,19.99%,23.38%,43.99,"2,352.26","2,402.26",47.54,78.00%,91.00%
LIC of India,https://scanx.trade/company/lic-of-india-ltd,839.75,0.53%,835.5,"6,72,395","5,31,141.68",10.34,3.47,980,715.3,-2.45%,-7.28%,0.63%,40.18%,-4.06%,3.72,1.44%,49.36%,0.87%,66.13,845.43,882.69,54.27,76.00%,87.50%
Maruti Suzuki,https://scanx.trade/company/maruti-suzuki-ltd,"15,059.00",-0.08%,"15,090.00","3,74,759","4,73,458.84",31.75,38.47,"17,370.00","11,059.45",-11.21%,-2.05%,14.87%,68.40%,97.11%,4.75,0.90%,15.75%,19.54%,467.71,"16,057.26","14,444.92",41.58,78.00%,91.00%
Mahindra & Mahindra,https://scanx.trade/company/mahindra-mahindra-ltd,"3,572.00",-0.06%,"3,592.00","12,51,428","4,44,188.50",28.66,38.47,"3,839.90","2,425.00",-6.06%,-0.26%,12.01%,157.35%,312.23%,5.36,0.68%,15.83%,15.04%,88.8,"3,627.89","3,382.57",50.75,76.00%,89.58%
HCL Technologies,https://scanx.trade/company/hcl-technologies-ltd,"1,610.00",-0.73%,"1,613.70","31,84,531","4,36,900.08",26.73,31.01,"1,780.10","1,302.75",-1.84%,5.29%,-7.07%,40.47%,68.12%,6.18,3.70%,23.01%,30.84%,60.53,"1,662.45","1,584.01",37.92,76.00%,91.00%
Axis Bank,https://scanx.trade/company/axis-bank-ltd,"1,330.60",-0.61%,"1,340.00","37,66,488","4,13,083.24",15.74,9.74,"1,418.30",978.05,5.03%,8.48%,31.05%,50.76%,78.87%,2.02,0.07%,16.77%,6.50%,86.46,"1,281.02","1,194.38",55.14,78.00%,91.00%
Sun Pharmaceutical,https://scanx.trade/company/sun-pharmaceutical-ltd,"1,702.60",-0.11%,"1,699.00","30,74,842","4,08,510.77",37.33,16.76,"1,851.20","1,548.00",-1.47%,0.75%,-3.55%,65.60%,169.61%,5.25,0.94%,14.38%,18.92%,43.95,"1,728.78","1,692.42",55.14,78.00%,91.00%
Kotak Bank,https://scanx.trade/company/kotak-mahindra-bank-ltd,408.75,-0.87%,411,"2,48,14,864","4,06,522.03",21.81,9.74,460.38,375.44,-6.89%,-2.52%,5.98%,14.80%,6.98%,2.44,0.12%,13.83%,6.51%,93.78,426.06,420.38,38.8,78.00%,91.00%
ITC,https://scanx.trade/company/itc-ltd,310.2,-1.16%,313.95,"1,58,16,704","3,88,642.28",11.12,16.88,460.35,302,-11.38%,-24.14%,-31.85%,-13.85%,42.60%,5.53,4.57%,27.71%,36.57%,16.36,366.13,402.85,24.98,78.00%,91.00%
UltraTech Cement,https://scanx.trade/company/ultratech-cement-ltd,"12,773.00",-0.26%,"12,762.00","1,72,331","3,76,393.71",49.23,30.45,"13,097.00","10,047.85",7.35%,8.07%,10.88%,77.67%,106.59%,5.24,0.61%,11.62%,9.06%,243.84,"11,970.02","12,035.35",63.08,78.00%,91.00%
Titan,https://scanx.trade/company/titan-ltd,"4,097.60",-1.12%,"4,152.30","6,93,637","3,63,779.26",88.94,8.17,"4,312.10","2,925.00",1.13%,7.45%,13.89%,66.36%,170.72%,28.68,0.27%,37.22%,36.95%,38.91,"3,996.27","3,666.50",55.21,78.00%,91.00%
Adani Ports & SEZ,https://scanx.trade/company/adani-ports-sez-ltd,"1,570.20",0.15%,"1,568.00","32,85,127","3,61,767.66",28.89,38.29,"1,572.30","1,036.50",5.42%,8.71%,39.56%,214.76%,176.25%,4.28,0.42%,15.69%,13.60%,46.34,"1,467.09","1,414.73",64.17,75.01%,80.00%
NTPC,https://scanx.trade/company/ntpc-ltd,367,-0.07%,369.75,"1,87,89,794","3,55,867.65",14.35,22.3,371.45,292.8,4.23%,11.01%,15.01%,121.69%,270.52%,1.85,2.27%,12.31%,9.85%,22.08,335.46,337.06,66.49,76.00%,90.96%
Oil & Natural Gas Corporation,https://scanx.trade/company/oil-natural-gas-corporation-ltd,269.2,0.84%,268,"1,52,68,335","3,38,661.12",7.85,-110.71,277.77,205,11.49%,6.68%,5.94%,86.56%,175.68%,0.91,4.59%,15.64%,11.31%,36.35,243.41,243.26,64.3,76.00%,89.31%
Bajaj Finserv,https://scanx.trade/company/bajaj-finserv-ltd,"2,000.10",-0.97%,"2,008.10","8,57,399","3,19,578.62",16.8,3.47,"2,195.00","1,727.25",-1.88%,-3.53%,10.30%,49.55%,106.18%,4.22,0.05%,15.03%,10.65%,52.25,"2,022.11","2,023.18",51.85,76.00%,90.85%
Bharat Electronics,https://scanx.trade/company/bharat-electronics-ltd,432.9,-1.43%,439,"1,43,45,511","3,16,440.33",53.81,23.21,461.65,240.25,7.38%,4.28%,52.16%,361.27%,821.46%,14.88,0.55%,24.13%,33.72%,5.8,409.6,394.46,55.47,75.80%,87.50%
JSW Steel,https://scanx.trade/company/jsw-steel-ltd,"1,239.80",0.94%,"1,218.60","11,98,051","3,03,187.38",38.64,24.72,"1,245.00",905.2,5.01%,4.94%,31.30%,69.41%,209.72%,3.62,0.28%,11.25%,7.49%,28.47,"1,156.08","1,091.62",63.02,76.00%,90.29%
Adani Power,https://scanx.trade/company/adani-power-ltd,153.45,-1.18%,155.29,"2,69,58,184","2,95,923.64",26.48,22.3,182.7,92.4,3.56%,-3.12%,51.53%,299.71%,1340.85%,5.12,-,48.28%,20.42%,41.44,142.69,131.19,65.01,60.00%,81.82%
Eternal,https://scanx.trade/company/zomato-ltd,286.85,-2.48%,291.1,"3,03,83,252","2,76,820.31","1,226.04",38.29,368.45,194.8,0.95%,-8.50%,22.30%,488.41%,127.66%,9.2,-,1.72%,2.63%,0.68,284.92,288.06,53.73,72.84%,85.03%
Hindustan Aeronautics,https://scanx.trade/company/hal-hindustan-aeronautics-ltd,"4,035.50",-4.31%,"4,121.00","63,43,724","2,69,884.15",33.3,24.35,"5,165.00","3,046.05",-8.65%,-13.88%,8.20%,244.93%,726.64%,7.6,0.95%,26.15%,17.49%,113.89,"4,403.00","4,643.96",35.55,74.66%,87.41%
Bajaj Auto,https://scanx.trade/company/bajaj-auto-ltd,"9,647.00",0.08%,"9,640.00","1,55,663","2,69,399.81",30.31,10.04,"9,941.00","7,089.35",1.52%,10.24%,8.25%,150.41%,128.41%,7.88,2.18%,26.61%,24.90%,286.76,"9,289.95","8,775.53",60.16,76.00%,90.96%
Power Grid Corporation of India,https://scanx.trade/company/power-grid-corporation-of-india-ltd,289.35,-0.02%,291,"98,70,342","2,69,112.97",17.34,22.3,322,247.3,6.79%,3.69%,1.30%,79.56%,150.50%,2.72,3.11%,18.53%,12.27%,16.88,264.62,283.95,71.21,76.00%,90.31%
Coal India,https://scanx.trade/company/coal-india-ltd,431.85,-0.70%,437,"52,52,658","2,66,137.42",8.62,-107.53,461.55,349.25,0.92%,14.38%,14.69%,97.28%,200.73%,2.54,6.10%,44.71%,24.48%,59.34,406.55,392.89,54.82,76.00%,90.19%
Adani Enterprises,https://scanx.trade/company/adani-enterprises-ltd,"2,236.60",0.38%,"2,232.00","9,92,382","2,58,144.06",18.2,34.45,"2,612.78","1,848.00",-1.89%,-4.66%,0.24%,45.39%,291.21%,4.76,0.06%,7.45%,10.92%,37.44,"2,184.82","2,341.91",58.39,71.37%,80.00%
Hindustan Zinc,https://scanx.trade/company/hindustan-zinc-ltd,610.8,-4.45%,600,"1,67,70,606","2,58,082.48",22.88,-107.53,733,378.15,-2.86%,29.04%,39.80%,76.40%,107.23%,19.72,4.54%,51.06%,62.89%,19.26,597.32,491.05,46.54,58.00%,82.85%
Vedanta,https://scanx.trade/company/vedanta-ltd,655.2,-4.74%,660.05,"1,82,34,038","2,56,208.63",12.99,-107.53,769.8,363,6.20%,28.94%,49.69%,108.46%,271.43%,6.7,6.32%,17.92%,28.36%,13.95,607.89,493.36,50.02,75.86%,86.43%
Avenue Supermarts DMart,https://scanx.trade/company/dmart-avenue-supermarts-ltd,"3,934.90",2.89%,"3,849.00","8,67,140","2,56,056.95",86.87,34.45,"4,949.50","3,340.00",5.78%,-5.92%,0.38%,13.39%,32.94%,10.87,-,13.56%,16.93%,40.74,"3,802.79","4,156.91",62.41,76.00%,87.50%
Nestle,https://scanx.trade/company/nestle-india-ltd,"1,303.50",0.02%,"1,304.80","8,54,891","2,51,355.77",77,51.23,"1,340.40","1,055.00",1.86%,3.04%,13.37%,37.18%,52.69%,56.62,1.04%,117.72%,59.30%,33.58,"1,276.66","1,219.46",52.23,78.00%,91.00%
Indian Oil Corporation,https://scanx.trade/company/indian-oil-corporation-ltd,175.77,1.73%,174.24,"3,48,30,200","2,48,209.01",9.56,10.31,174.5,110.72,5.38%,3.85%,41.23%,124.05%,154.48%,1.24,1.69%,22.94%,9.53%,21.83,162.88,151.76,70.09,76.00%,87.50%
Tata Steel,https://scanx.trade/company/tata-steel-ltd,197.76,1.21%,193,"3,12,93,689","2,46,874.23",36.43,24.72,202.99,125.3,8.14%,10.30%,48.22%,64.32%,201.46%,2.61,1.84%,-5.31%,8.15%,1.6,178.43,166.54,61.76,76.00%,88.84%
Wipro,https://scanx.trade/company/wipro-ltd,233.39,0.02%,233.34,"1,01,02,736","2,44,749.53",18.36,31.01,323.6,226.26,-13.24%,-1.90%,-26.20%,14.43%,8.58%,2.86,2.57%,14.88%,18.97%,21.37,255.2,251.17,34.55,76.00%,89.83%
Asian Paints,https://scanx.trade/company/asian-paints-ltd,"2,432.10",-0.84%,"2,445.00","10,47,405","2,33,286.49",60.17,40.65,"2,985.70","2,124.75",-12.28%,-2.20%,3.30%,-11.89%,1.26%,12.02,1.01%,28.61%,23.98%,52.96,"2,745.53","2,518.96",32.69,78.00%,91.00%
Hindalco Industries,https://scanx.trade/company/hindalco-industries-ltd,935.45,-3.06%,943.15,"45,80,529","2,10,216.81",12.2,87.15,"1,029.80",546.45,1.05%,12.52%,60.19%,103.51%,257.25%,1.61,0.51%,9.57%,12.85%,48.78,889.74,754.73,50.88,76.00%,88.54%
SBI Life Insurance,https://scanx.trade/company/sbi-life-insurance-ltd,"2,017.80",-1.17%,"2,031.00","9,25,742","2,02,351.00",82.6,3.47,"2,109.60","1,379.85",-2.40%,2.35%,37.04%,77.30%,133.57%,10.77,0.13%,12.70%,0.56%,20.29,"2,028.82","1,877.92",47.91,78.00%,91.00%
Eicher Motors,https://scanx.trade/company/eicher-motors-ltd,"7,209.50",-0.93%,"7,290.00","2,54,212","1,97,756.03",39.08,43.31,"7,613.50","4,646.00",-1.70%,4.03%,32.28%,117.37%,143.28%,9.04,0.96%,22.17%,26.14%,152.7,"7,219.95","6,372.21",50.87,78.00%,91.00%
Grasim Industries,https://scanx.trade/company/grasim-industries-ltd,"2,863.90",0.67%,"2,830.10","7,62,775","1,94,894.62",21.58,4.44,"2,977.80","2,301.65",0.26%,-0.63%,15.26%,77.89%,141.93%,1.94,0.35%,7.14%,5.94%,85.43,"2,795.39","2,771.33",57.34,78.00%,91.00%
Interglobe Aviation,https://scanx.trade/company/indigo-interglobe-aviation-ltd,"4,932.20",-0.57%,"4,845.00","11,89,049","1,90,674.21",59.77,8.44,"6,232.50","4,157.85",-3.40%,-12.50%,13.51%,135.12%,194.93%,22.23,0.20%,409.35%,15.53%,202.26,"5,039.45","5,520.36",52.69,76.00%,80.00%
Shriram Finance,https://scanx.trade/company/shriram-transport-finance-company-ltd,992,-0.68%,995.5,"57,75,866","1,86,631.12",20.54,3.47,"1,041.50",525.1,-1.82%,24.54%,72.00%,287.79%,249.14%,3.1,0.99%,14.88%,10.65%,201.17,940.54,735.99,53.39,75.03%,87.13%
TVS Motors,https://scanx.trade/company/tvs-motors-ltd,"3,712.70",-0.39%,"3,727.40","5,93,814","1,76,385.59",57.79,43.31,"3,909.00","2,192.75",-3.51%,6.90%,40.40%,258.51%,468.60%,21.82,0.27%,23.68%,22.61%,36.05,"3,669.74","3,249.86",53.44,76.00%,87.50%
Hyundai Motor India,https://scanx.trade/company/hyundai-motor-india-ltd,"2,164.30",-1.16%,"2,189.80","4,95,337","1,75,858.27",30.73,38.47,"2,890.00","1,541.70",-4.57%,-9.64%,17.32%,18.94%,18.94%,10.13,0.96%,-,40.99%,-,"2,290.01","2,217.29",36.92,65.00%,87.50%
Jio Financial Services,https://scanx.trade/company/jio-financial-services-ltd,269.95,0.73%,268.1,"1,57,68,740","1,71,503.06",105.95,3.47,338.6,198.65,-10.52%,-10.58%,10.14%,8.46%,8.46%,1.26,0.19%,1.15%,1.49%,2.5,286.35,298.55,48.75,75.00%,87.50%
LTI Mindtree,https://scanx.trade/company/lti-larsen-toubro-infotech-ltd,"5,683.50",-0.40%,"5,700.00","3,03,053","1,68,509.66",35.81,31.01,"6,429.50","3,802.00",-6.32%,1.13%,-3.71%,26.24%,32.06%,7.23,1.14%,22.89%,26.33%,154.11,"6,091.83","5,457.15",37.4,76.00%,87.50%
Tata Motors,https://scanx.trade/company/tata-motors-ltd,455.9,-0.56%,461.6,"45,48,779","1,67,877.49",65.5,603.01,485.4,306.3,3.09%,38.38%,38.38%,38.38%,38.38%,16.44,-,-,-362.96%,-,411.17,-,60.14,-,80.00%
Bharat Petroleum,https://scanx.trade/company/bharat-petroleum-ltd,382.05,-0.10%,386,"84,46,290","1,65,752.60",6.74,10.31,388.15,234.01,0.16%,2.44%,49.27%,133.88%,82.55%,1.77,2.57%,35.51%,17.05%,44.92,364.04,338.11,63.71,76.00%,87.50%
DLF,https://scanx.trade/company/dlf-ltd,661.3,0.22%,660,"21,84,966","1,63,692.58",36.91,8.7,886.8,586.65,-5.29%,-14.63%,-13.24%,87.07%,117.00%,3.8,0.91%,4.13%,5.62%,11.5,675.09,746.87,53.27,76.00%,87.50%
Divis Laboratories,https://scanx.trade/company/divis-laboratories-ltd,"6,141.50",1.44%,"6,054.00","3,70,561","1,63,037.53",64.68,42.1,"7,071.50","4,955.00",-3.93%,-9.74%,0.74%,112.92%,66.94%,10.43,0.49%,11.79%,18.85%,63.06,"6,329.78","6,370.04",47.17,76.00%,87.50%
Tech Mahindra,https://scanx.trade/company/tech-mahindra-ltd,"1,646.20",0.05%,"1,630.10","17,20,981","1,61,281.73",35.1,31.01,"1,854.00","1,209.40",2.12%,16.82%,-0.77%,62.78%,69.85%,5.85,2.73%,8.83%,18.78%,25.74,"1,620.52","1,545.97",46.46,76.00%,90.52%
Adani Green Energy,https://scanx.trade/company/adani-green-energy-ltd,967.15,1.33%,954,"31,02,511","1,59,306.64",84.67,22.3,"1,177.55",758,-6.90%,-10.98%,-1.63%,3.34%,-10.28%,8.05,-,7.22%,8.15%,8.71,969.76,993.46,56.71,68.03%,79.66%
HDFC Life Insurance,https://scanx.trade/company/hdfc-life-insurance-ltd,720.7,-0.25%,722.4,"12,68,905","1,55,499.37",82.48,3.47,820.75,600.35,-4.52%,-2.93%,15.15%,47.41%,5.92%,8.85,0.29%,10.73%,0.60%,7.61,750.1,758.04,40.84,78.00%,91.00%
ICICI Prudential Asset Management,https://scanx.trade/company/icici-prudential-asset-management-company-ltd,"3,098.60",1.41%,"3,061.00","5,32,341","1,53,150.95",56.94,3.47,"3,131.00","2,530.00",16.39%,19.83%,19.83%,19.83%,19.83%,2.09,1.43%,-,98.60%,-,-,-,71.65,-,80.00%
Bank of Baroda,https://scanx.trade/company/bank-of-baroda-ltd,290.45,-0.14%,291.4,"49,70,798","1,50,202.21",7.64,9.86,313.35,190.7,-4.79%,0.82%,36.43%,77.54%,253.99%,0.91,2.88%,15.25%,5.69%,36.82,294.49,261.39,46.07,76.00%,87.50%
IRFC,https://scanx.trade/company/indian-railway-finance-corp-ltd,114.71,-1.11%,116,"1,02,42,128","1,49,908.83",21.63,-163.59,148.95,108.04,-10.72%,-6.16%,-16.78%,268.25%,352.50%,2.68,1.38%,13.04%,5.81%,4.93,118.58,126.75,42.48,72.21%,85.24%
Pidilite Industries,https://scanx.trade/company/pidilite-industries-ltd,"1,469.60",0.64%,"1,464.90","8,35,235","1,49,563.25",64.2,200.88,"1,574.95","1,311.10",-0.58%,0.99%,0.42%,25.52%,67.00%,15.55,0.68%,20.28%,26.80%,36.93,"1,465.35","1,497.72",53.8,78.00%,87.50%
Varun Beverages,https://scanx.trade/company/varun-beverages-ltd,437.1,-1.75%,447.45,"93,54,103","1,47,826.73",49.15,30.92,592.95,419.55,-11.48%,-7.20%,-25.48%,89.24%,444.61%,7.68,0.11%,29.67%,20.86%,18.65,479.7,479.56,26.92,75.00%,87.50%
Tata Capital,https://scanx.trade/company/tata-capital-ltd,346.1,-0.77%,348,"8,54,324","1,46,914.92",33.47,3.47,367.3,315.1,-3.62%,5.10%,4.72%,-66.37%,-66.37%,3.43,0.11%,-,9.08%,-,339.36,-,51.11,-,75.00%
Trent,https://scanx.trade/company/trent-ltd,"4,131.30",2.96%,"3,973.40","38,37,832","1,46,862.53",88.83,34.45,"6,261.00","3,645.00",-6.31%,-11.36%,-28.16%,234.34%,516.93%,23.38,0.12%,36.01%,29.27%,35.43,"4,060.07","4,926.62",59.57,72.77%,85.72%
Cholamandalam Investment,https://scanx.trade/company/cholamandalam-investment-ltd,"1,722.30",-0.99%,"1,740.00","3,91,219","1,45,336.89",30.28,3.47,"1,831.50","1,300.60",-3.30%,-1.35%,23.47%,120.48%,270.87%,5.37,0.11%,17.41%,9.61%,43.53,"1,697.29","1,609.86",56.1,75.93%,87.46%
Muthoot Finance,https://scanx.trade/company/muthoot-finance-ltd,"3,578.80",-3.84%,"3,630.50","6,89,465","1,43,677.54",20.69,3.47,"4,149.50","1,965.00",-6.33%,12.25%,59.84%,248.30%,202.08%,4.55,0.70%,16.57%,13.76%,111.25,"3,809.65","3,013.09",40.88,76.00%,87.26%
Punjab National Bank,https://scanx.trade/company/punjab-national-bank-ltd,124.1,0.36%,123.5,"1,08,83,117","1,42,627.43",7.95,9.86,135.15,85.46,-1.00%,0.69%,25.29%,139.58%,206.42%,1.01,2.35%,8.25%,5.75%,10.66,122.65,112.54,50.99,76.00%,87.50%
Britannia Industries,https://scanx.trade/company/britannia-industries-ltd,"5,870.50",-0.14%,"5,855.00","2,75,290","1,41,401.73",61.11,51.23,"6,336.00","4,506.00",-1.90%,-0.37%,16.75%,26.82%,63.98%,37.92,1.28%,53.81%,58.72%,91.68,"5,935.34","5,788.44",48.31,78.00%,87.50%
Tata Motors Passenger Vehicles,https://scanx.trade/company/tata-motors-passenger-vehicles-ltd,374.15,-0.35%,375,"1,40,13,838","1,37,783.71",1.47,38.47,450.4,324.33,1.03%,-7.96%,-13.02%,38.75%,89.50%,1.25,1.60%,34.17%,18.34%,102.18,354.96,398.32,63.53,76.00%,88.85%
Power Finance Corporation,https://scanx.trade/company/power-finance-corporation-ltd,415,0.10%,415.7,"2,15,60,718","1,36,954.22",4.15,-163.59,444.1,329.9,10.39%,4.75%,2.44%,266.61%,308.95%,1.08,3.81%,19.70%,9.24%,62.81,362.52,394.77,72.77,72.83%,86.50%
Union Bank of India,https://scanx.trade/company/union-bank-of-india-ltd,177.92,1.03%,176.11,"1,12,92,976","1,35,817.11",7.1,9.86,183.34,106.63,13.54%,17.41%,56.23%,140.76%,414.96%,1.07,2.70%,14.05%,6.23%,18.56,161.65,145.26,59.95,73.93%,86.21%
Torrent Pharmaceuticals,https://scanx.trade/company/torrent-pharmaceuticals-ltd,"3,976.40",-1.17%,"4,029.90","2,30,235","1,34,579.44",63.71,18.72,"4,107.20","2,886.45",2.34%,11.23%,28.14%,159.57%,196.57%,16.14,0.15%,24.16%,28.48%,49.44,"3,878.46","3,571.48",52.27,78.00%,87.50%
Canara Bank,https://scanx.trade/company/canara-bank-ltd,148.29,0.54%,148,"1,60,41,047","1,34,508.69",7.27,9.86,160.79,78.6,-4.25%,6.22%,59.73%,150.07%,357.26%,1.21,2.71%,15.87%,6.11%,17.21,150.44,124.49,47.09,76.00%,87.50%
Ambuja Cements,https://scanx.trade/company/ambuja-cements-ltd,533.05,-0.73%,536,"13,63,472","1,31,760.55",26.71,30.45,624.95,455,-5.72%,-6.05%,3.77%,42.68%,95.44%,2.36,0.37%,9.32%,9.15%,12.66,541.6,562.46,48.98,76.00%,87.50%
Samvardhana Motherson International,https://scanx.trade/company/motherson-sumi-systems-ltd,120.99,-1.33%,121.95,"61,05,921","1,27,698.20",36.49,173.23,125.49,71.5,-0.86%,15.79%,31.58%,139.11%,107.46%,3.48,0.46%,10.70%,14.07%,4.75,116.89,105,60.8,75.72%,87.18%
ABB,https://scanx.trade/company/abb-ltd,"5,770.00",0.26%,"5,750.00","2,05,411","1,22,271.13",69.08,-0.1,"6,260.00","4,637.50",10.84%,10.03%,2.49%,105.64%,280.09%,46.84,0.77%,21.00%,35.54%,75.95,"5,162.81","5,390.04",70.93,75.96%,87.50%
Vodafone Idea,https://scanx.trade/company/vodafone-idea-ltd,11.24,-0.97%,11.3,"52,85,88,471","1,21,777.57",-5,-3.3,12.8,6.12,-4.58%,19.45%,19.57%,64.09%,-7.49%,-1.49,-,29.99%,-1.99%,-,10.97,8.54,55.62,65.99%,76.32%
Cummins,https://scanx.trade/company/cummins-india-ltd,"4,391.40",4.50%,"4,088.00","16,92,136","1,21,729.61",50.32,55.82,"4,615.00","2,580.00",-2.02%,1.73%,53.90%,203.80%,459.77%,14.75,1.23%,26.02%,32.98%,66.04,"4,293.23","3,803.74",63.59,76.00%,87.50%
Adani Energy Solutions,https://scanx.trade/company/adani-transmission-ltd,"1,011.45",2.36%,980,"17,70,119","1,21,503.73",49.8,22.3,"1,067.70",639.45,-4.39%,2.59%,34.54%,-27.55%,95.94%,5.08,-,8.73%,6.77%,12.54,967.69,902.67,59.34,68.33%,80.00%
Bajaj Holdings & Investments,https://scanx.trade/company/bajaj-holdings-and-investments-ltd,"10,891.00",0.02%,"11,000.00","2,11,732","1,21,209.76",13.52,3.47,"14,763.00","10,400.00",-2.59%,-9.92%,-7.20%,80.79%,218.50%,1.79,0.85%,11.70%,8.98%,670.52,"11,008.94","12,579.89",50.64,68.52%,87.31%
Solar Industries,https://scanx.trade/company/solar-industries-ltd,"13,384.00",-1.39%,"13,581.00","1,07,492","1,21,111.89",80.41,200.88,"17,820.00","8,482.50",8.50%,-1.76%,37.28%,242.17%,996.42%,24,0.07%,25.54%,30.18%,102.22,"12,790.98","14,209.92",54.34,74.84%,86.24%
Jindal Steel,https://scanx.trade/company/jindal-steel-ltd,"1,178.00",0.92%,"1,159.10","10,90,941","1,20,166.38",59.03,24.72,"1,180.50",770,9.04%,9.00%,46.96%,102.18%,308.46%,2.4,0.17%,13.28%,8.16%,54.82,"1,047.89","1,001.05",67.91,76.00%,87.50%
Godrej Consumer Products,https://scanx.trade/company/godrej-consumer-products-ltd,"1,170.20",1.25%,"1,155.00","5,10,890","1,19,740.08",64.97,85.52,"1,309.00",979.5,-5.26%,0.58%,3.08%,25.16%,52.22%,9.73,2.16%,-4.45%,23.72%,17.15,"1,187.42","1,203.81",43.65,76.00%,87.50%
Indian Bank,https://scanx.trade/company/indian-bank-ltd,879.5,0.03%,876,"9,04,730","1,18,465.48",10.29,9.86,923,478,2.10%,0.81%,62.80%,198.34%,640.63%,1.63,1.85%,13.49%,5.89%,67.86,833.7,721.37,55.49,75.78%,86.85%
Ashok Leyland,https://scanx.trade/company/ashok-leyland-ltd,201.5,0.29%,201.25,"1,48,09,572","1,18,358.17",33.32,603.01,205.19,95.93,6.74%,43.48%,90.38%,161.86%,196.54%,9.38,1.56%,22.82%,15.46%,8.52,178.07,140.53,67.74,76.00%,87.50%
HDFC AMC,https://scanx.trade/company/hdfc-asset-management-company-ltd,"2,762.30",1.37%,"2,725.00","23,36,539","1,18,311.65",40.61,3.47,"2,967.25","1,781.53",3.96%,2.26%,42.82%,197.65%,82.77%,15.08,1.65%,27.46%,39.50%,96.87,"2,599.57","2,634.06",64.7,76.00%,87.50%
BSE,https://scanx.trade/company/bse-ltd,"2,892.20",-0.14%,"2,905.00","29,76,213","1,17,968.23",65.26,38.29,"3,030.00","1,227.32",8.46%,15.85%,55.91%,1634.97%,4138.28%,22.64,0.26%,22.34%,30.53%,44.38,"2,737.24","2,524.87",58.14,65.00%,79.46%
Siemens,https://scanx.trade/company/siemens-ltd,"3,300.00",0.29%,"3,305.00","2,05,714","1,17,519.77",55.63,-0.1,"3,409.00","2,269.90",6.53%,5.78%,22.46%,119.25%,258.95%,8.86,0.36%,14.98%,22.43%,68.99,"3,112.40","3,136.84",65.5,74.98%,87.35%
